,year,gradeName,originName,max_quantity
0,2009,Light Sweet,Africa,2559851
1,2009,Light Sweet,Algeria,698243
2,2009,Medium,Angola,840693
3,2009,Heavy Sweet,Argentina,115633
4,2009,Light Sweet,Asia-Pacific,129815
5,2009,Light Sweet,Australia,18074
6,2009,Light Sweet,Azerbaijan,223433
7,2009,Light Sour,Belize,4277
8,2009,Light Sweet,Bolivia,9611
9,2009,Heavy Sour,Brazil,638687
10,2009,Heavy Sweet,Cameroon,81445
11,2009,Heavy Sour,Canada,2716028
12,2009,Heavy Sour,Canada (Region),2716028
13,2009,Heavy Sweet,Chad,165186
14,2009,Heavy Sweet,China,13734
15,2009,Heavy Sour,Colombia,510496
16,2009,Light Sweet,Congo-Brazzaville,146342
17,2009,Medium,Congo-Kinshasa,23884
18,2009,Medium,Cote d'Ivoire,2429
19,2009,Heavy Sour,Ecuador,442211
20,2009,Medium,Egypt,13454
21,2009,Medium,Equatorial Guinea,216468
22,2009,Medium,Eurasia,392532
23,2009,Light Sweet,Europe,230440
24,2009,Medium,Gabon,232561
25,2009,Heavy Sweet,Guatemala,29498
26,2009,Medium,Indonesia,15120
27,2009,Medium,Iraq,1124977
28,2009,Light Sour,Kazakhstan,40439
29,2009,Medium,Kuwait,341432
30,2009,Light Sweet,Libya,147553
31,2009,Light Sweet,Malaysia,8484
32,2009,Medium,Mauritania,6713
33,2009,Heavy Sour,Mexico,2427467
34,2009,Medium,Middle East,3759469
35,2009,Light Sweet,Nigeria,1162917
36,2009,Heavy Sour,Non-OPEC,7014938
37,2009,Light Sweet,Norway,73143
38,2009,Medium,OPEC,5419799
39,2009,Medium,Oman,72597
40,2009,Heavy Sour,Other Americas,6332788
41,2009,Heavy Sour,Peru,22799
42,2009,Light Sweet,Qatar,20482
43,2009,Medium,Russia,385749
44,2009,Medium,Saudi Arabia,2163182
45,2009,Medium,South Africa,3619
46,2009,Heavy Sweet,Syria,3206
47,2009,Light Sweet,Thailand,37611
48,2009,Light Sweet,Trinidad and Tobago,68229
49,2009,Medium,United Arab Emirates,57281
50,2009,Light Sweet,United Kingdom,157297
51,2009,Heavy Sour,Venezuela,2281104
52,2009,Light Sweet,Vietnam,59122
53,2009,Heavy Sour,World,9458610
54,2010,Light Sweet,Africa,3104234
55,2010,Light Sweet,Algeria,794178
56,2010,Medium,Angola,629839
57,2010,Heavy Sweet,Argentina,69475
58,2010,Light Sweet,Asia-Pacific,75103
59,2010,Heavy Sweet,Australia,21700
60,2010,Light Sweet,Azerbaijan,161077
61,2010,Light Sour,Belize,5887
62,2010,Light Sweet,Bolivia,18186
63,2010,Heavy Sour,Brazil,505561
64,2010,Heavy Sweet,Cameroon,126812
65,2010,Heavy Sour,Canada,2875642
66,2010,Heavy Sour,Canada (Region),2875642
67,2010,Heavy Sweet,Chad,46858
68,2010,Heavy Sweet,China,10185
69,2010,Heavy Sour,Colombia,673918
70,2010,Light Sweet,Congo-Brazzaville,161833
71,2010,Medium,Congo-Kinshasa,22575
72,2010,Medium,Cote d'Ivoire,13440
73,2010,Heavy Sour,Ecuador,476952
74,2010,Heavy Sour,Egypt,11340
75,2010,Medium,Equatorial Guinea,145915
76,2010,Medium,Eurasia,422282
77,2010,Light Sour,Europe,151046
78,2010,Medium,Gabon,187439
79,2010,Heavy Sweet,Guatemala,24199
80,2010,Medium,Indonesia,42707
81,2010,Medium,Iraq,1049832
82,2010,Light Sour,Kazakhstan,40012
83,2010,Medium,Kuwait,375564
84,2010,Light Sweet,Libya,100849
85,2010,Light Sweet,Malaysia,4039
86,2010,Medium,Mauritania,4690
87,2010,Heavy Sour,Mexico,2284338
88,2010,Medium,Middle East,3840816
89,2010,Light Sweet,Netherlands,6643
90,2010,Light Sweet,Nigeria,1582756
91,2010,Heavy Sour,Non-OPEC,7123809
92,2010,Light Sweet,Norway,34293
93,2010,Medium,OPEC,5462345
94,2010,Medium,Oman,30499
95,2010,Heavy Sour,Other Americas,6374249
96,2010,Heavy Sour,Peru,27111
97,2010,Medium,Russia,405531
98,2010,Medium,Saudi Arabia,2382856
99,2010,Light Sweet,Thailand,32032
100,2010,Light Sweet,Trinidad and Tobago,86842
101,2010,Light Sour,United Arab Emirates,2198
102,2010,Light Sour,United Kingdom,151046
103,2010,Heavy Sour,Venezuela,2401889
104,2010,Light Sweet,Vietnam,27454
105,2010,Heavy Sour,World,9638041
106,2011,Light Sweet,Africa,1995623
107,2011,Light Sweet,Algeria,443191
108,2011,Medium,Angola,513086
109,2011,Heavy Sweet,Argentina,65366
110,2011,Light Sweet,Asia-Pacific,58772
111,2011,Heavy Sweet,Australia,12187
112,2011,Light Sweet,Azerbaijan,137354
113,2011,Light Sour,Belize,7546
114,2011,Light Sweet,Bolivia,15197
115,2011,Heavy Sour,Brazil,449575
116,2011,Heavy Sweet,Cameroon,91826
117,2011,Heavy Sour,Canada,3337012
118,2011,Heavy Sour,Canada (Region),3337012
119,2011,Heavy Sweet,Chad,125846
120,2011,Heavy Sweet,China,2205
121,2011,Heavy Sour,Colombia,857164
122,2011,Light Sweet,Congo-Brazzaville,104580
123,2011,Medium,Congo-Kinshasa,21175
124,2011,Medium,Cote d'Ivoire,9121
125,2011,Heavy Sour,Ecuador,492891
126,2011,Light Sweet,Egypt,7301
127,2011,Medium,Equatorial Guinea,41888
128,2011,Medium,Eurasia,352632
129,2011,Light Sweet,Europe,87437
130,2011,Medium,Gabon,160573
131,2011,Light Sweet,Ghana,13993
132,2011,Heavy Sour,Guatemala,23044
133,2011,Medium,Indonesia,32564
134,2011,Medium,Iraq,1141042
135,2011,Medium,Kazakhstan,10731
136,2011,Medium,Kuwait,383292
137,2011,Light Sweet,Libya,23296
138,2011,Heavy Sour,Mexico,2153662
139,2011,Medium,Middle East,4199874
140,2011,Light Sweet,Nigeria,1058617
141,2011,Heavy Sour,Non-OPEC,7600768
142,2011,Light Sweet,Norway,75922
143,2011,Medium,OPEC,5400766
144,2011,Medium,Oman,101808
145,2011,Heavy Sour,Other Americas,6221971
146,2011,Heavy Sour,Peru,26208
147,2011,Light Sweet,Qatar,13601
148,2011,Medium,Russia,337610
149,2011,Medium,Saudi Arabia,2548343
150,2011,Heavy Sour,Syria,7532
151,2011,Light Sweet,Thailand,44289
152,2011,Light Sweet,Trinidad and Tobago,52899
153,2011,Medium,United Arab Emirates,10850
154,2011,Heavy Sour,United Kingdom,42868
155,2011,Heavy Sour,Venezuela,2209270
156,2011,Medium,Vietnam,15253
157,2011,Heavy Sour,World,9960300
158,2011,Medium,Yemen,14539
159,2012,Light Sweet,Africa,1256409
160,2012,Light Sweet,Algeria,285341
161,2012,Medium,Angola,272118
162,2012,Heavy Sweet,Argentina,49945
163,2012,Light Sweet,Asia-Pacific,64939
164,2012,Heavy Sweet,Australia,15470
165,2012,Light Sweet,Azerbaijan,64953
166,2012,Light Sour,Belize,6706
167,2012,Light Sweet,Bolivia,7756
168,2012,Heavy Sour,Brazil,388549
169,2012,Medium,Brunei,4326
170,2012,Heavy Sweet,Cameroon,73122
171,2012,Heavy Sour,Canada,3631614
172,2012,Heavy Sour,Canada (Region),3631614
173,2012,Heavy Sweet,Chad,72870
174,2012,Heavy Sweet,China,3206
175,2012,Heavy Sour,Colombia,941164
176,2012,Light Sweet,Congo-Brazzaville,57883
177,2012,Heavy Sour,Congo-Kinshasa,924
178,2012,Heavy Sweet,Cote d'Ivoire,6958
179,2012,Heavy Sour,Ecuador,433531
180,2012,Light Sweet,Egypt,68957
181,2012,Medium,Equatorial Guinea,97139
182,2012,Light Sweet,Eurasia,134519
183,2012,Light Sweet,Europe,72835
184,2012,Light Sweet,Gabon,62685
185,2012,Heavy Sour,Guatemala,24514
186,2012,Medium,Indonesia,9324
187,2012,Medium,Iraq,1197553
188,2012,Heavy Sour,Italy,2156
189,2012,Medium,Kuwait,636195
190,2012,Light Sweet,Libya,128212
191,2012,Heavy Sour,Mexico,1872059
192,2012,Medium,Middle East,4692905
193,2012,Light Sweet,Nigeria,542073
194,2012,Heavy Sour,Non-OPEC,7445788
195,2012,Light Sweet,Norway,59626
196,2012,Medium,OPEC,5321099
197,2012,Medium,Oman,24220
198,2012,Heavy Sour,Other Americas,5842235
199,2012,Heavy Sour,Peru,17857
200,2012,Light Sour,Russia,99687
201,2012,Medium,Saudi Arabia,2834937
202,2012,Light Sweet,Thailand,49791
203,2012,Light Sweet,Trinidad and Tobago,45941
204,2012,Heavy Sour,United Kingdom,31906
205,2012,Heavy Sour,Venezuela,2164561
206,2012,Light Sweet,Vietnam,12082
207,2012,Heavy Sour,World,9764559
208,2013,Light Sweet,Africa,715911
209,2013,Light Sweet,Algeria,70000
210,2013,Medium,Angola,207753
211,2013,Heavy Sweet,Argentina,30828
212,2013,Medium,Asia-Pacific,47936
213,2013,Heavy Sweet,Australia,3661
214,2013,Light Sweet,Azerbaijan,72898
215,2013,Light Sour,Belize,4683
216,2013,Light Sweet,Bolivia,2058
217,2013,Heavy Sour,Brazil,223153
218,2013,Heavy Sour,Cameroon,70
219,2013,Heavy Sour,Canada,3883768
220,2013,Heavy Sour,Canada (Region),3883768
221,2013,Heavy Sweet,Chad,167482
222,2013,Heavy Sweet,China,3423
223,2013,Heavy Sour,Colombia,863604
224,2013,Light Sweet,Congo-Brazzaville,39011
225,2013,Heavy Sweet,Congo-Kinshasa,7
226,2013,Heavy Sour,Ecuador,530593
227,2013,Light Sweet,Egypt,7280
228,2013,Medium,Equatorial Guinea,42462
229,2013,Light Sweet,Eurasia,103047
230,2013,Light Sweet,Europe,49315
231,2013,Medium,Gabon,35497
232,2013,Light Sweet,Ghana,6951
233,2013,Heavy Sour,Guatemala,17353
234,2013,Medium,Indonesia,37443
235,2013,Medium,Iraq,858382
236,2013,Medium,Kuwait,669795
237,2013,Light Sweet,Libya,103110
238,2013,Heavy Sour,Mauritania,7840
239,2013,Heavy Sour,Mexico,1766268
240,2013,Medium,Middle East,4297594
241,2013,Heavy Sour,Netherlands,3521
242,2013,Light Sweet,Nigeria,365764
243,2013,Heavy Sour,Non-OPEC,7496909
244,2013,Light Sweet,Norway,41027
245,2013,Medium,OPEC,4622842
246,2013,Medium,Oman,6657
247,2013,Heavy Sour,Other Americas,5200027
248,2013,Heavy Sour,Peru,28945
249,2013,Light Sour,Russia,50848
250,2013,Medium,Saudi Arabia,2762760
251,2013,Light Sweet,Thailand,19747
252,2013,Medium,Trinidad and Tobago,19425
253,2013,Light Sour,United Arab Emirates,6286
254,2013,Heavy Sour,United Kingdom,36645
255,2013,Heavy Sour,Venezuela,1766492
256,2013,Light Sweet,Vietnam,23695
257,2013,Heavy Sour,World,9606394
258,2014,Heavy Sweet,Africa,233184
259,2014,Heavy Sour,Albania,3430
260,2014,Light Sweet,Algeria,14637
261,2014,Medium,Angola,122262
262,2014,Heavy Sweet,Argentina,73066
263,2014,Medium,Asia-Pacific,56301
264,2014,Heavy Sweet,Australia,4046
265,2014,Light Sweet,Azerbaijan,58779
266,2014,Light Sour,Belize,1414
267,2014,Heavy Sour,Brazil,256067
268,2014,Heavy Sour,Canada,4433541
269,2014,Heavy Sour,Canada (Region),4433541
270,2014,Heavy Sweet,Chad,143682
271,2014,Heavy Sour,Colombia,649383
272,2014,Light Sweet,Congo-Brazzaville,10241
273,2014,Heavy Sour,Ecuador,520338
274,2014,Medium,Equatorial Guinea,9261
275,2014,Light Sweet,Eurasia,92638
276,2014,Heavy Sour,Europe,27776
277,2014,Medium,Gabon,26684
278,2014,Heavy Sour,Guatemala,17437
279,2014,Medium,Indonesia,47033
280,2014,Medium,Iraq,842359
281,2014,Medium,Kuwait,669452
282,2014,Light Sweet,Libya,9128
283,2014,Light Sweet,Mauritania,2737
284,2014,Heavy Sour,Mexico,1691788
285,2014,Medium,Middle East,3942337
286,2014,Medium,Netherlands,1792
287,2014,Light Sweet,Nigeria,80759
288,2014,Heavy Sour,Non-OPEC,7699146
289,2014,Light Sweet,Norway,22127
290,2014,Medium,OPEC,4074406
291,2014,Heavy Sour,Other Americas,4973108
292,2014,Heavy Sour,Peru,21588
293,2014,Light Sweet,Russia,33859
294,2014,Medium,Saudi Arabia,2430526
295,2014,Light Sweet,Thailand,16464
296,2014,Medium,Trinidad and Tobago,10360
297,2014,Light Sour,United Arab Emirates,26677
298,2014,Heavy Sour,United Kingdom,24346
299,2014,Heavy Sour,Venezuela,1816507
300,2014,Light Sweet,Vietnam,14021
301,2014,Heavy Sour,World,9992108
302,2015,Medium,Africa,238518
303,2015,Heavy Sour,Albania,13839
304,2015,Light Sweet,Algeria,7420
305,2015,Medium,Angola,152852
306,2015,Heavy Sweet,Argentina,39935
307,2015,Medium,Asia-Pacific,100765
308,2015,Heavy Sweet,Australia,23163
309,2015,Light Sweet,Azerbaijan,33747
310,2015,Heavy Sour,Belize,2520
311,2015,Heavy Sour,Brazil,264985
312,2015,Heavy Sour,Canada,5034057
313,2015,Heavy Sour,Canada (Region),5034057
314,2015,Heavy Sweet,Chad,169911
315,2015,Heavy Sour,Colombia,800268
316,2015,Light Sweet,Congo-Brazzaville,21427
317,2015,Heavy Sour,Ecuador,573825
318,2015,Heavy Sour,Egypt,3794
319,2015,Medium,Equatorial Guinea,13174
320,2015,Light Sweet,Eurasia,95305
321,2015,Heavy Sour,Europe,51443
322,2015,Light Sweet,Gabon,18389
323,2015,Heavy Sour,Guatemala,20412
324,2015,Medium,Indonesia,90111
325,2015,Medium,Iraq,465934
326,2015,Heavy Sour,Italy,3367
327,2015,Medium,Kuwait,481369
328,2015,Light Sweet,Libya,6433
329,2015,Medium,Malaysia,1274
330,2015,Heavy Sour,Mexico,1468691
331,2015,Medium,Middle East,3280585
332,2015,Light Sweet,Nigeria,79044
333,2015,Heavy Sour,Non-OPEC,8304912
334,2015,Medium,Norway,8162
335,2015,Medium,OPEC,3359916
336,2015,Heavy Sour,Other Americas,5028863
337,2015,Heavy Sour,Peru,14105
338,2015,Light Sweet,Russia,61558
339,2015,Medium,Saudi Arabia,2333282
340,2015,Medium,Trinidad and Tobago,17759
341,2015,Light Sour,United Arab Emirates,4214
342,2015,Heavy Sour,United Kingdom,27251
343,2015,Heavy Sour,Venezuela,1877519
344,2015,Light Sweet,Vietnam,13860
345,2015,Heavy Sour,World,10509443
346,2016,Light Sweet,Africa,660975
347,2016,Heavy Sour,Albania,17472
348,2016,Light Sweet,Algeria,125923
349,2016,Medium,Angola,180299
350,2016,Heavy Sweet,Argentina,23338
351,2016,Medium,Asia-Pacific,88963
352,2016,Heavy Sweet,Australia,9191
353,2016,Light Sweet,Azerbaijan,26005
354,2016,Light Sweet,Bolivia,2226
355,2016,Heavy Sour,Brazil,180894
356,2016,Heavy Sour,Canada,5044193
357,2016,Heavy Sour,Canada (Region),5044193
358,2016,Heavy Sweet,Chad,157234
359,2016,Heavy Sour,Colombia,953603
360,2016,Light Sweet,Congo-Brazzaville,6622
361,2016,Medium,Denmark,4389
362,2016,Heavy Sour,Ecuador,586516
363,2016,Light Sweet,Egypt,16737
364,2016,Medium,Equatorial Guinea,11781
365,2016,Light Sweet,Eurasia,78197
